"Qty";"Value";"Device";"Package";"Parts";"Description";"CATALOGUE";"POPULARITY";"RETAILER";"SPICEPREFIX";
"4";"";"DIODE-DO35-10";"DO35-10";"D1, D2, D3, D4";"DIODE";"";"1";"";"";
"1";"";"TL0X2DIL";"DIL08";"IC1";"Dual Operational Amplifier";"1103189";"";"Farnell";"";
"2";"";"Z1604_AUDIO_TRANSFORMER";"Z1604_TRANSFORMER";"Z1, Z2";"";"";"";"";"";
"2";"100nF";"C-EU050-025X075";"C050-025X075";"C1, C2";"CAPACITOR, European symbol";"";"29";"";"C";
"1";"100Î©";"R-EU_0207/10";"0207/10";"R5";"RESISTOR, European symbol";"";"81";"";"R";
"3";"10K";"R-EU_0207/10";"0207/10";"R1, R2, R3";"RESISTOR, European symbol";"";"81";"";"R";
"3";"1XWIREPAD";"1XWIREPAD";"1X01";"CAR, IN, OUT";"";"";"";"";"";
"1";"20K";"R-EU_0207/10";"0207/10";"R4";"RESISTOR, European symbol";"";"81";"";"R";
"2";"2XWIREPAD";"2XWIREPAD";"1X02";"GND, POT";"";"";"";"";"";
"1";"COMBO_SUPPLY_HEADER";"COMBO_SUPPLY_HEADER";"COMBINED_POWER";"WP1";"";"";"";"";"";
"2";"MOUNT-PAD-ROUND3.2";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H1, H2";"MOUNTING PAD, round";"";"4";"";"";
