Qty,Value,Package,Parts,Description,Retailer,Catalog
1,Bicolour 5MM,LED5MM,D1,Bicolour LED Red/Green,Farnell,1581207
2,B100K,ALPHA_RV09_9MMPOT,"R1, R2",Taiwan Alpha 9mm Potentiometer,Thonk,D-shaft B100K
1,BANANA_PANEL,BANANA_PANEL,"WN, SH_OUT, SLEW_OUT",Cinch Blue Banana Socket,Mouser,530-108-0910-1
1,BANANA_PANEL,BANANA_PANEL,COMP,Cinch White Banana Socket,Mouser,530-108-0901-1
1,BANANA_PANEL,BANANA_PANEL,TRIG,Cinch Violet Banana Socket,Mouser,530-108-0912-1
3,BANANA_PANEL,BANANA_PANEL,"SH_IN, SLEW_CV, SLEW_IN, TRIG",Cinch Red Banana Socket,Mouser,530-108-0902-1
1,SPDT_SWITCHDW1,MICRODPDT-DW1,SW1,SPDT Dailywell Toggle Switch,Thonk,DW1
1,Large Knob,Large Knob,R1,SIFAM/SELCO Large Black,Thonk,Large Black
1,Small Knob,Small Knob,R2,SIFAM/SELCO Small Black,Thonk,Small Black
1,Large Blue Cap,Large Blue Cap,R1,SIFAM/SELCO Cap Blue Large,Thonk,Cap Large Blue
1,Small Red Cap,Small Red Cap,R2,SIFAM/SELCO Cap Red Small,Thonk,Cap Small Red
2,Pin Header,Pin Header,,8way 1row 2.54mm Header Pin,Farnell,2856626
2,Socket Header,Socket Header,,8way 1row 2.54mm Header Socket,Farnell,1668208
4,PCB Standoff,PCB Standoff,,PCB Standoff M3,Farnell,1466945
4,M3 Screw,M3 Screw,,Stainless Steel M3,Farnell,1420032