Qty,Value,Package,Parts,Description,CATALOGUE,RETAILER
,,,,,,
20,100K,0207/10,"R6, R7, R14, R16, R17, R24, R27, R28, R29, R30, R35, R36, R41, R43, R44, R49, R50, R51, R52, R53",RESISTOR 1/4W,2329853,Farnell
2,100Ω,0207/10,"R5, R34",RESISTOR 1/4W,2329854,Farnell
6,10K,0207/10,"R1, R4, R25, R26, R33, R58",RESISTOR 1/4W,2329855,Farnell
2,150K,0207/10,"R23, R57",RESISTOR 1/4W,2329871,Farnell
4,15K,0207/10,"R8, R13, R54, R55",RESISTOR 1/4W,2329873,Farnell
4,1M,0207/10,"R12, R22, R40, R48",RESISTOR 1/4W,2329894,Farnell
4,22K,0207/10,"R11, R21, R39, R47",RESISTOR 1/4W,2329901,Farnell
4,2K,0207/10,"R2, R15, R31, R42",RESISTOR 1/4W,2329911,Farnell
2,470Ω,0207/10,"R18, R56",RESISTOR 1/4W,2329942,Farnell
2,4K7,0207/10,"R59, R60",RESISTOR 1/4W,2329945,Farnell
4,75Ω,0207/10,"R10, R20, R38, R46",RESISTOR 1/4W,2329973,Farnell
4,100Ω,RTRIM3296W,"R9, R19, R37, R45",Trimm resistor,9353186,Farnell
2,10K,RTRIM3296W,"R3, R32",Trimm resistor,9353186,Farnell
,,,,,,
16,100nF,C050-025X075,"C1, C4, C5, C6, C7, C8, C9, C10, C11, C14, C15, C16, C17, C18, C19, C20","CAPACITOR, European symbol",2797801,Farnell
4,100pF,C050-025X075,"C2, C3, C12, C13","CAPACITOR, European symbol",1141765,Farnell
2,22µF,"E2,5-6","C21, C22","POLARIZED CAPACITOR, European symbol",9451161,Farnell
,,,,,,
14,BAT85,DO35-7,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14",,2889133,Farnell
4,2N3904,TO92,"Q5, Q6, Q11, Q12",NPN Transistor,1574370,Farnell
8,2N3906,TO92,"Q1, Q2, Q3, Q4, Q7, Q8, Q9, Q10",PNP Transistor,1574372,Farnell
2,LM4040_10V,TO92,"PREF1, PREF2",,3124449,Farnell
2,4013N,DIL14,"IC2, IC6","Dual D FLIP FLOP, set/reset",3119947,Farnell
2,LM13700,DIL16,"IC1, IC5",Dual Transconductance Amplifier with Darlington Buffer,3118206,Farnell
2,TL082,DIL08,"IC4, IC8",Dual Operational Amplifier,1103189,Farnell
2,TL084,DIL14,"IC3, IC7",Quad Operational Amplifier,3117825,Farnell
,,,,,,
1,COMBO_SUPPLY_HEADER,COMBINED_POWER,,10 way Shrouded IDC,2843527,Farnell
,,,,,,
10,Banana Connector,,"BOTH1, BOTH2, INPUT1, INPUT2, OUT1, OUT2, DN_CV1, DN_CV2, UP_CV1, UP_CV2",PANEL WIRE ONLY Banana or Jack patch point,1698951,Farnell
4,B10K,,"DN_CV1, DN_CV2, UP_CV1, UP_CV2",PANEL WIRE ONLY Taiwan Alpha 16mm,65-0753,Rapid
4,B100K,,"DPOT1, DPOT2, UPOT1, UPOT2",PANEL WIRE ONLY Taiwan Alpha 16mm,65-0756,Rapid
4,SPDT,,"LOOP1, LOOP2, SEL1, SEL2",PANEL WIRE ONLY SPDT Toggle Switch,9473416,Farnell