"Qty";"Value";"Device";"Package";"Parts";"Description";"CATALOGUE";"POPULARITY";"RETAILER";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"2";"";"CPOL-EUE2.5-6";"E2,5-6";"C21, C22";"POLARIZED CAPACITOR, European symbol";"";"26";"";"";"C";"";
"2";"";"LM13700DIL";"DIL16";"IC1, IC5";"Dual Transconductance Amplifier with Darlington Buffer";"3118206";"";"Farnell";"";"";"";
"2";"";"TL0X2DIL";"DIL08";"IC4, IC8";"Dual Operational Amplifier";"1103189";"";"Farnell";"";"";"";
"2";"";"TL0X4DIL";"DIL14";"IC3, IC7";"Quad Operational Amplifier";"3005140";"";"Farnell";"";"";"";
"16";"100K";"R-EU_0207/10";"0207/10";"R7, R14, R17, R24, R27, R28, R29, R30, R36, R41, R44, R49, R50, R51, R52, R53";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"16";"100nF";"C-EU050-025X075";"C050-025X075";"C1, C4, C5, C6, C7, C8, C9, C10, C11, C14, C15, C16, C17, C18, C19, C20";"CAPACITOR, European symbol";"";"29";"";"";"C";"";
"4";"100pF";"C-EU050-025X075";"C050-025X075";"C2, C3, C12, C13";"CAPACITOR, European symbol";"";"29";"";"";"C";"";
"2";"100立";"R-EU_0207/10";"0207/10";"R5, R34";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"100立";"R-TRIMM3296W";"RTRIM3296W";"R9, R19, R37, R45";"Trimm resistor";"";"3";"";"X";"";"POT";
"6";"10K";"R-EU_0207/10";"0207/10";"R1, R4, R25, R26, R33, R58";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"2";"10K";"R-TRIMM3296W";"RTRIM3296W";"R3, R32";"Trimm resistor";"";"3";"";"X";"";"POT";
"2";"10nF";"C-EU050-025X075";"C050-025X075";"C23, C24";"CAPACITOR, European symbol";"";"29";"";"";"C";"";
"2";"150K";"R-EU_0207/10";"0207/10";"R23, R57";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"15K";"R-EU_0207/10";"0207/10";"R8, R13, R54, R55";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"1M";"R-EU_0207/10";"0207/10";"R12, R22, R40, R48";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"24";"1XWIREPAD";"1XWIREPAD";"1X01";"+10VR1, +10VR2, +12V1, +12V2, -10VR1, -10VR2, BOTH1, BOTH2, DN_CV1, DN_CV2, DPOT1, DPOT2, GND1, GND2, INPUT1, INPUT2, NC1, NC2, OUT1, OUT2, UPOT1, UPOT2, UP_CV1, UP_CV2";"";"";"";"";"";"";"";
"4";"22K";"R-EU_0207/10";"0207/10";"R11, R21, R39, R47";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"2K";"R-EU_0207/10";"0207/10";"R2, R15, R31, R42";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"2N3904";"2N3904";"TO92";"Q5, Q6, Q11, Q12";"NPN Transistor";"";"0";"";"";"";"";
"8";"2N3906";"2N3906";"TO92";"Q1, Q2, Q3, Q4, Q7, Q8, Q9, Q10";"PNP Transistor";"";"11";"";"";"";"";
"4";"2XWIREPAD";"2XWIREPAD";"1X02";"LOOP1, LOOP2, SEL1, SEL2";"";"";"";"";"";"";"";
"2";"30K";"R-EU_0207/10";"0207/10";"R61, R62";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"2";"4013N";"4013N";"DIL14";"IC2, IC6";"Dual D FLIP FLOP, set/reset";"";"4";"";"";"";"";
"2";"470立";"R-EU_0207/10";"0207/10";"R18, R56";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"47K";"R-EU_0207/10";"0207/10";"R6, R16, R35, R43";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"2";"4K7";"R-EU_0207/10";"0207/10";"R59, R60";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"4";"75立";"R-EU_0207/10";"0207/10";"R10, R20, R38, R46";"RESISTOR, European symbol";"";"81";"";"";"R";"";
"14";"BAT85";"SCHOTTKY_DO35";"DO35-7";"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14";"";"";"";"";"";"";"";
"1";"COMBO_SUPPLY_HEADER";"COMBO_SUPPLY_HEADER";"COMBINED_POWER";"WP1";"";"";"";"";"";"";"";
"2";"LM4040_10V";"LM4040TH";"TO92";"PREF1, PREF2";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"7";"";"";"";"";
